sentence,hate,category
যত্তসব পাপন শালার ফাজলামী!!!!!,1,sports
পাপন শালা রে রিমান্ডে নেওয়া দরকার,1,sports
জিল্লুর রহমান স্যারের ছেলে এতো বড় জারজ হবে এটা একটা দেশের মানুষ কোনো দিন ও ভাবতে পারেনি।ধন্যবাদ তাহসিন ভাই।,1,sports
শালা লুচ্চা দেখতে পাঠার মত দেখা যায়,1,sports
তুই তো শালা গাজা খাইছচ।তুর মার হেডায় খেলবে সাকিব,1,sports
এটা কুন দরনের কেলা ফাইজলামি তাস্কিন রে চর মারা দরকার,1,sports
পাপন ভর মাদা চোদ পাপনে পদতেক চাই,1,sports
দুরো সালার পুদ চুপথাক,1,sports
কুত্তার বাছচা পাপন,1,sports
বাল ছাল তর সাউয়া😡,1,sports
তোর কপালে জুতা মারি শালার পুত,1,sports
পাপনে পাগল হয়াছে,1,sports
দেখেছো মাগি না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,1,sports
হালার পু পাপন,1,sports
শালায় এই কারণেই খেলায় ডাব্বা মারে😡😠,1,sports
ব্ব,1,sports
পাপন হালারে বেট থেকে জুতার মালা দিয়এই বের করে না কেনে ওর কারনে ভাল পিলিআর গুলো খেলা পারেনা,1,sports
পাপন মাঘির পুতের পেটের মদ্দে দুর্নিতি ভরা,1,sports
পাপনকে জুতার মালা দেয়া জরুর,1,sports
আমি হলে তো জারসি পড়া লোকটাকে চুদেদিতাম,1,sports
ইয়েছির আলী হালা খেলা জানেনা,1,sports
কুত্তার বাচ্চা পাপন,1,sports
পাপন মাগির পোলার এটা করছে,1,sports
মাগির পুয়া,1,sports
ক্রিকেট মনে হয় ওনার বাবার সম্পত্তি হালার ফু,1,sports
বিসিবির সবকটাই চোরমাদারচোদ,1,sports
কুকুরের চাচ্চা তদেক কি হয়চে নবীকে গারি দিয়াচে তদেক কিচু হয়নি। আর সাদারন একটা মানুষকে গারিদিয়েচে তদেল এত মাতা বেতা বেরে গেছে।,1,sports
মুসফিক চেডের বাল আমার,1,sports
পাপন কে খেলব?কি বলেন আমি কিন্তু হেকার যে ছাইলে পাপনকে মাগির দলাল বানানো কোন বেপারনা,1,sports
সব মানুষ আপন হয় না জেমন পাপন আপন হইতে পারে না শালা হারামির বাচ্চা,1,sports
শালায় আমার একটা পছন্দের প্লেয়ার ছিল কিন্তু রাস্তার কুকুরের চেয়েও খারাপ চরিত্রহীন একটা,1,sports
এগোলি ছাগল,1,sports
তাসকিন কে আমি অনেক পছন্দ করতাম কিন্তু সে যে একটা মাদারি চুদ সেটা আগে জানতাম না। এই তাপ্পর গুলো তাসকিন কে মারার উচিত ছিল??????,1,sports
এ হালার ঘরের হালা,1,sports
এ আগেই তো জানতো তারমানে পিকসিং করছে পাপন মাদার সুদ,1,sports
সব ঠিক আছে হিজড়ার কাছে বাচ্চা চাওয়াটা ঠিক নেই,1,sports
পাপনের পদত্যক চাই শালায় চোর,1,sports
ডিসিপির শালা অন্তরে জুতা মারা উচিত্,1,sports
জারে হালারফুত পাপনতুই বেশি দিন এই জাইগায় তাকতে পারবি নালাখ লাখ মানুষের অভিসাপ দেয়া আছে তর উপর।।সালা ফহিন্নির ফুত।।।,1,sports
দর্শক ছিড়া জুতা মারে নাই তো দর্শক ভালো খারাপ মন্তব্য করতে পারে এতে দোষের কিছু নেই আমার মনে হয় মুশফিক গাঁজা একটু বেশি খায়ছে !!,1,sports
পাপন কুত্তার বাচ্চা এই ভিডিও টা দেখছে কি???,1,sports
সাকিব না খেললে বিসিবির খানকির পোলারা খেলবে,1,sports
পাপ্পুর গালে জুতা মারে তালে তালে।।বেসসার পুলা?,1,sports
বাল জানেন,1,sports
রুবেল ১নং বাইনচোদ,1,sports
পাপন একটা জুয়ারি জদি সাকিব কে ভাত দেয়া হয় তাহলে জিবনে কোনো দিন জদি সুজক পাই পাপনেরে দুই টা জুতার বারি দিমু,1,sports
সালার পুতেরা আর খেলা পাইলো না মারা মারি খেলে।,1,sports
সালা গাজা খুর,1,sports
গাজা খাইচছ মাগির পোলা।,1,sports
চামচাটা নিজেকে নিজে অনেক কিছুই মনে করতেছে।সালা বাবাখুর,1,sports
কুত্তা বাচ্চা এই রকম নিউজ দিস জম্মের থিক নাই।,1,sports
পাপনের মুখটা দেখুন নিজের গদি ধরে কখন জানি টান মারে সেই টেনশন ধরে গেছে শালা গাঁজা খুরি কথা বার্তা তুই আগে পদত্যাগ কর দেখ নতুন কেউ আসলে কি ভাবে চালায়,1,sports
"মাদারচুদ <br />শালা ভিক্ষারীর বাচ্চা<a href=""http://www.youtube.com/results?search_query=%23admin"">#admin</a>",1,sports
পাপনের মেয়ে কে চুদি অনেক বড় মাদাদিচোদ,1,sports
আপনার কথা গুলো ঠিক,1,sports
সব কারশাজি হচ্ছে পাপন মাদারছোদের,1,sports
এই চুদির ভাই তুই কোথায় শুনলি সাকিব ইংল্যান্ডেের হয়ে খেলবে??ক্যাপশনতো দিয়ে বসলি।,1,sports
আমি মুসফিকের গুস্টি চুদি। আমার এখন বাল ফালা,1,sports
খানকির পো তো বাট বাট চোদাস ক্যন বসি বাট বাট করলে তোর পাছায় দিমু পেপে গাচের ডাট,1,sports
কুত্তার বাচ্চারে সরা,1,sports
একেই বলে কুত্তা ভাগ্য কাইশ্যার মতে টা ম্যাচেই সেঞ্চুরি করতে পারল না,1,sports
পাপন সালা পাগল হয়ে গেছে সবাই মিলে একে জুতা মারো,1,sports
বালেৱ সাংবাদিক সাব্বিৱ এৱ শুনামকে ব্যাবহাৱ কৱে অনেমেয়েই লাভবান হতেচায় বর্তমানে সেলেব্ৰেটী ক্ৰিকেটাৱৱাই সবচাইতে বড় ৷মেয়েৱাও জানে ছেলেদেৱ দূর্বলতা কি বাংলাদেশে হাতেগোনা দুএকটা ছাড়া সবক্ৰিকেটাৱৱাই এধৱনে অভিযোগে অভিযুক্ত তাইবলে ব্যাডবয় উপাধি হবেকেন ??? যদি ব্যাডয় হয় সাব্বিৱ তাহলে তাৱসাথে যে মেয়েগুলা মেলামেশা কৱেছে তাৱা ব্যাডগার্ল তাদেৱ নাম কেন আসলোনা ??? অনেক মেয়েৱ ছবি ব্লাৱ কৱা কিন্তু সাব্বিৱে সবি ব্লাৱ কেন হলোনা ? তাহলেকি সমাজে ছেলেদেৱ কোন সম্মানেৱ দামনেই শুধু মহিলাৱ ইজ্জতেৱ দামই বেশী এটাকি বৈষম্য মূলক আচৱন নয় ছেলেদেৱ সাথে এটা হবেকেন যতসব ফালতু চ্যানেল,1,sports
রফিক আমার চেটের বাল🐸মুশি রিয়াদ টাকা দে তাই হেতে ভাব চোদায়🐸,1,sports
এখানে সব কয়টা মারে চুদি,1,sports
সালা মাদার চোত,1,sports
"ছাগলের বাচ্চারা, শিরোনাম কি আর দেখায় কি",1,sports
মুসফিক বাল কামাইছে,1,sports
মুসফিক গরুর মতো চিল্লাইলো 😁,1,sports
ওইদিন রাতে যদি জিল্লুর রহমান কিছু না করে ঘুমিয়ে পড়তো তাহলে জাতিকে আজ এমন একটা কুলাংগার দেখতে হতো না,1,sports
বালের বাল রা গালি দিলে কি এমন বাল হইছে কারে গালি দিছে বাল,1,sports
প্লেয়ারগো পুটকি মার আর এ ই খানকির পুলাগোরেও পুটকি মার,1,sports
তবে <br />তোরা সময় টিভিও <br />মনে রাখ এই সাব্বিরেও এক সময় ভালো সময় আসবে যদিও এখন খারাপ সময় যাচ্ছে ।,1,sports
খেলোয়ার হয়েছে কি বাল ফালানি গেছে,1,sports
